Binomial,Stage1,cytb,coi,nd2,nd3,rag1,bfib5,bfib7,gapdh,myo,odc
Lichmera_indistincta,1,AY488353,NA,AY488280,NA,NA,AY488433,NA,NA,NA,NA
Limicola_falcinellus,1,EF373139,GQ482054,EF373247,NA,EF373191,NA,NA,NA,NA,NA
Limnoctites_rectirostris,1,AY996352,NA,NA,NA,FJ461108,GQ140151,NA,AY996358,AY996346,GQ140061
Limnodromus_griseus,1,NA,AY666454,NA,NA,NA,NA,NA,NA,NA,NA
Limnodromus_scolopaceus,1,AF285819,EU525436,EF373248,NA,AY228774,NA,AY695183,NA,NA,NA
Limnornis_curvirostris,1,AY996353,NA,NA,NA,NA,EF212058,NA,AY996359,AY996347,EF212105
Limnothlypis_swainsonii,1,AF383005,DQ433772,AF383121,NA,NA,GU931931,NA,NA,GU932252,NA
Limosa_fedoa,1,AF285823,AY666307,NA,NA,NA,NA,AY695180,NA,NA,NA
Limosa_haemastica,1,AF285821,AY666318,EF373249,NA,AY228773,NA,NA,NA,NA,NA
Limosa_lapponica,1,AF285814,AY666291,NA,NA,NA,NA,NA,NA,NA,NA
Limosa_limosa,1,AF285813,GQ482062,NA,NA,NA,NA,NA,NA,NA,NA
Linurgus_olivaceus,1,NA,NA,EU652707,EU881004,NA,NA,NA,NA,EU878699,NA
Liocichla_omeiensis,1,EU447099,EU447054,NA,NA,EU447146,NA,NA,NA,NA,NA
Liocichla_phoenicea,1,AF484862,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liocichla_steerii,1,AF484863,EU447055,DQ861986,NA,AY319985,NA,NA,FJ357873,FJ357943,FJ358042
Lioptilus_nigricapillus,1,NA,NA,NA,NA,NA,EU680659,NA,NA,EU680586,EU680739
Liosceles_thoracicus,1,EF639957,NA,EF640024,EF640091,FJ461223,EF639892,NA,GQ925890,GQ925905,GQ925873
Lipaugus_fuscocinereus,1,DQ470503,NA,DQ363980,NA,NA,NA,NA,DQ470528,DQ470555,NA
Lipaugus_streptophorus,1,NA,NA,NA,NA,FJ501659,NA,NA,NA,NA,NA
Lipaugus_unirufus,1,DQ470505,NA,DQ363982,NA,NA,NA,NA,DQ470529,DQ470556,NA
Lipaugus_vociferans,1,NA,NA,DQ363981,NA,FJ501660,NA,NA,NA,NA,NA
Loboparadisea_sericea,1,AF197843,NA,NA,NA,AY443294,NA,NA,EU272095,EU272106,EU272125
Lochmias_nematura,1,AY065699,NA,HM125593,EF635370,AY065728,EF212059,EF635332,NA,AY065755,EF212106
Locustella_certhiola,1,AJ004318,GQ482074,AY382366,NA,NA,NA,NA,NA,DQ008528,NA
Locustella_fasciolata,1,Y15689,EF515800,AY382367,NA,NA,NA,NA,NA,NA,NA
Locustella_fluviatilis,1,AJ004764,GQ482077,AY382368,GQ242127,NA,GQ242048,NA,NA,DQ008527,EU680740
Locustella_lanceolata,1,DQ119525,GQ482085,AY382379,NA,NA,NA,NA,NA,FJ883091,FJ883160
Locustella_luscinioides,1,AJ004319,NA,AY382380,NA,NA,NA,NA,NA,NA,NA
Locustella_naevia,1,NA,GQ482090,AY382387,NA,EF568259,NA,NA,NA,GQ369648,NA
Locustella_ochotensis,1,AB261540,GQ482094,AY382388,NA,NA,NA,NA,NA,NA,NA
Locustella_pleskei,1,AB159188,NA,AY382394,NA,NA,NA,NA,NA,NA,NA
Locustella_pryeri,1,AB261523,NA,AY382395,NA,NA,NA,NA,NA,NA,NA
Lonchura_bicolor,1,AF290140,NA,AF290103,NA,NA,NA,NA,NA,NA,NA
Lonchura_cantans,1,EU423950,NA,AY323605,NA,EF568267,NA,NA,NA,NA,NA
Lonchura_castaneothorax,1,EU423947,NA,AY323604,NA,NA,NA,NA,NA,NA,NA
Lonchura_cucullata,1,AF255705,NA,AF407026,NA,NA,NA,NA,NA,NA,NA
Lonchura_fringilloides,1,EU423925,NA,AY323600,NA,NA,NA,NA,NA,NA,NA
Lonchura_griseicapilla,1,EU423934,NA,AY323602,NA,NA,NA,NA,NA,NA,NA
Lonchura_kelaarti,1,EU423972,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lonchura_leucogastroides,1,EU423974,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lonchura_maja,1,EU423951,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lonchura_malabarica,1,EU423948,NA,AY323606,NA,NA,NA,NA,NA,NA,NA
Lonchura_malacca,1,DQ270353,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lonchura_nana,1,NA,NA,AY323607,NA,NA,NA,NA,NA,NA,NA
Lonchura_nigriceps,1,EU423938,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lonchura_pallida,1,AY495406,NA,NA,NA,NA,NA,AY494584 - fib intron 7,NA,NA,NA
Lonchura_punctulata,1,EU423954,NA,HQ116579,NA,NA,NA,NA,NA,NA,NA
Lonchura_quinticolor,1,EU423965,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lonchura_striata,1,DQ270352,EF515788,NA,NA,NA,NA,NA,NA,NA,NA
Lophaetus_occipitalis,1,AJ604502,NA,AY987103,NA,AJ601458,NA,AY987196 - intron 7,NA,NA,NA
Lophodytes_cucullatus,1,EU585650,DQ434630,EU585713,NA,NA,NA,NA,NA,NA,NA
Lophoictinia_isura,1,AY987244,NA,AY987063,NA,EF078744,NA,NA,NA,NA,NA
Lopholaimus_antarcticus,1,EF373282,EF373380,EF373342,NA,EF373513,NA,EF373485 - FIB intron 7,NA,NA,NA
Lophonetta_specularioides,1,AF059102,FJ027112,AF059162,NA,NA,NA,GQ269152,NA,NA,GQ268996
Lophophorus_impejanus,1,AF028796,NA,DQ768259,NA,NA,NA,DQ306967,NA,NA,NA
Lophophorus_lhuysii,1,GQ871234,GQ871234,GQ871234,GQ871234,NA,NA,NA,NA,NA,NA
Lophophorus_sclateri,1,FJ752432,FJ752432,FJ752432,FJ752432,NA,NA,NA,NA,NA,NA
Lophorina_superba,1,U25733,NA,NA,NA,NA,NA,NA,GQ334311,NA,GQ334276
Lophornis_chalybeus,1,NA,NA,GU167239,NA,NA,NA,GU167129 - Bfib intron 7,NA,NA,GU167036
Lophornis_delattrei,1,NA,NA,AY830500,NA,NA,NA,AY830651 - Bfib intron 7,NA,NA,GU167037
Lophornis_pavoninus,1,NA,NA,EU042568,NA,NA,NA,EU042403 extraction (reversed),NA,NA,NA
Lophospingus_griseocristatus,1,EU647987,NA,EU648043,NA,NA,NA,NA,NA,NA,NA
Lophospingus_pusillus,1,EF529992,NA,EF529878,NA,NA,NA,NA,NA,NA,NA
Lophostrix_cristata,1,AF115881,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophotriccus_galeatus,1,NA,NA,NA,NA,FJ501661,NA,NA,NA,NA,NA
Lophotriccus_pileatus,1,DQ294504,NA,DQ294548,DQ294417,NA,DQ294460,NA,EU231667,EU231765,EU231867
Lophotriccus_vitiosus,1,DQ294505,NA,DQ294549,DQ294418,NA,DQ294461,NA,NA,NA,NA
Lophotriorchis_kienerii,1,AY754054,NA,AY987101,NA,NA,NA,NA,NA,NA,NA
Lophozosterops_goodfellowi,1,NA,NA,FJ460792,FJ460860,NA,NA,NA,NA,NA,NA
Lophozosterops_javanicus,1,NA,NA,NA,NA,FJ358110,NA,NA,FJ357875,FJ357945,FJ358044
Lophozosterops_squamiceps,1,NA,NA,FJ460793,FJ460861,NA,NA,NA,NA,NA,NA
Lophozosterops_superciliaris,1,NA,NA,FJ460794,FJ460862,FJ358111,NA,NA,FJ357876,FJ357946,FJ358045
Lophura_bulweri,1,AF314637,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_diardi,1,AF028797,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_edwardsi,1,AF534557,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_erythrophthalma,1,AF314639,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_hatinhensis,1,AF314640,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_ignita,1,AB164627,AB164627,AB164627,AB164627,NA,NA,NA,NA,NA,NA
Lophura_inornata,1,AF314642,NA,DQ768260,NA,NA,NA,DQ306968,NA,NA,NA
Lophura_leucomelanos,1,AF314643,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_nycthemera,1,EU417810,EU417810,EU417810,EU417810,NA,NA,DQ306969,NA,NA,NA
Lophura_swinhoii,1,AF534558,NA,DQ768262,NA,NA,NA,DQ306970,NA,NA,NA
Loriculus_beryllinus,1,GQ996504,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loriculus_catamene,1,NA,NA,NA,NA,GQ505195,NA,NA,NA,NA,NA
Loriculus_galgulus,1,AB177950,EU621627,EU327631,NA,GQ505196,NA,NA,NA,NA,NA
Loriculus_philippensis,1,NA,NA,NA,NA,GQ505197,NA,NA,NA,NA,NA
Loriculus_pusillus,1,AB177949,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loriculus_stigmatus,1,GQ996503,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lorius_albidinucha,1,NA,EU621628,EU327632,NA,NA,NA,NA,NA,NA,NA
Lorius_garrulus,1,AF346335,NA,NA,NA,GQ505236,NA,NA,NA,NA,NA
Lorius_lory,1,AB177952,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loxia_curvirostra,1,AY495386,AY666331,AF447290,EU881013,AY037856,NA,AY494564 - fib intron 7,NA,AY228303,GU816921
Loxia_leucoptera,1,AF342878,AY666278,FJ547503,EU881030,NA,NA,NA,NA,EU878722,NA
Loxia_megaplaga,1,AF171660,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loxia_pytyopsittacus,1,AF171664,NA,NA,EU881054,NA,NA,NA,NA,EU878744,NA
Loxia_scotica,1,AF171656,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loxigilla_noctis,1,AF310041,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loxigilla_portoricensis,1,AF489886,EF567610,EF567907,NA,EF567519,EF567718,NA,NA,NA,NA
Loxigilla_violacea,1,AF489887,NA,AY383180,NA,NA,NA,NA,NA,NA,NA
Loxioides_bailleui,1,EU600383,NA,FJ266300,NA,FJ266131,NA,NA,FJ266095,NA,NA
Loxipasser_anoxanthus,1,AF489888,NA,AY383179,NA,NA,NA,NA,NA,NA,NA
Loxops_caeruleirostris,1,FJ266251,NA,FJ266311,NA,FJ266141,NA,NA,FJ266105,NA,NA
Loxops_coccineus,1,AF015757,NA,EU026448,NA,FJ266162,NA,NA,FJ266109,NA,NA
Lugensa_brevirostris,1,NC_007174,NC_007174,NC_007174,NC_007174,NA,NA,NA,NA,NA,NA
Lullula_arborea,1,AY165158,GQ482110,EU307811,NA,NA,NA,NA,NA,NA,NA
Lurocalis_rufiventris,1,FJ588445,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lurocalis_semitorquatus,1,GU586672,NA,NA,NA,DQ482616,NA,NA,NA,NA,NA
Luscinia_brunnea,1,HM633315,NA,NA,NA,NA,NA,NA,NA,HM633597,HM633734
Luscinia_calliope,1,AB244010,GQ482115,GU237103,NA,NA,NA,NA,NA,HM633598,HM633735
Luscinia_cyane,1,DQ119521,GQ482123,NA,NA,AY307196,AY206881,NA,NA,HM633599,HM633736
Luscinia_luscinia,1,EU190893,DQ683476,EU190930,NA,NA,NA,NA,GU359003,GU358738,GU358868
Luscinia_megarhynchos,1,HM633319,DQ683477,NA,NA,NA,NA,NA,NA,HM633601,HM633737
Luscinia_pectardens,1,DQ285444,NA,NA,NA,NA,NA,NA,NA,HM633602,HM633738
Luscinia_pectoralis,1,HM633321,NA,NA,NA,NA,NA,NA,NA,HM633603,HM633739
Luscinia_sibilans,1,AB353338,EF515794,GU358807,NA,NA,NA,NA,GU359004,GU358739,GU358869
Luscinia_svecica,1,AY286395,DQ433777,HM640927,NA,NA,NA,NA,NA,HM633605,HM633741
Lybius_bidentatus,1,AF123527,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lybius_dubius,1,AY279291,NA,NA,NA,NA,NA,AY279247 - beta fibrinogen gene,NA,NA,NA
Lybius_melanopterus,1,AY279292,NA,NA,NA,NA,NA,AY279248 - beta fibrinogen intron 7,NA,NA,NA
Lybius_torquatus,1,AY279294,NA,NA,NA,NA,NA,AY279250 - beta fibrinogen intron 7,NA,NA,NA
Lybius_vieilloti,1,AY279293,NA,NA,NA,NA,NA,AY279249 - beta fibrinogen intron 7,NA,NA,NA
Lycocorax_pyrrhopterus,1,GQ334221,NA,NA,NA,NA,NA,NA,GQ334294,NA,GQ334259
Lymnocryptes_minimus,1,EF373142,GQ482149,EF373250,NA,EF373192,NA,NA,NA,NA,NA
Macgregoria_pulchra,1,AF197861,NA,NA,NA,NA,NA,NA,NA,NA,NA
Machaerirhynchus_flaviventer,1,FJ821126,NA,DQ084072,NA,FJ821057,NA,NA,NA,FJ821090,NA
Machaeropterus_deliciosus,1,NA,EF111032,GU985501,AY489534,NA,NA,AY489436,NA,NA,NA
Machaeropterus_pyrocephalus,1,AF123647,NA,NA,NA,FJ501662,NA,NA,NA,NA,NA
Machaeropterus_regulus,1,AF123648,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macheiramphus_alcinus,1,NA,NA,NA,NA,EF078745,NA,NA,NA,NA,NA
Machetornis_rixosa,1,NA,FJ027767,NA,NA,FJ501663,NA,NA,EU231706,EU231804,EU231907
Mackenziaena_leachii,1,EF639958,NA,EF640025,EF640092,FJ461172,EF639893,NA,NA,NA,NA
Mackenziaena_severa,1,AY676935,NA,NA,NA,NA,NA,NA,AY677029,AY676982,NA
Macroagelaius_imthurni,1,AF089039,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macroagelaius_subalaris,1,NA,NA,AF109945,NA,NA,NA,NA,NA,NA,NA
Macrocephalon_maleo,1,AM236881,NA,AF394621,NA,NA,NA,NA,NA,NA,NA
Macrodipteryx_longipennis,1,GU586673,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macrodipteryx_vexillarius,1,GU586674,NA,NA,NA,DQ482635,NA,NA,NA,NA,NA
Macronectes_giganteus,1,U48941,FJ027768,NA,NA,NA,NA,NA,NA,NA,NA
Macronectes_halli,1,AF076061,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macronous_gularis,1,AF376892,NA,DQ861941,NA,FJ358112,NA,NA,FJ357877,FJ357947,FJ358046
Macronous_ptilosus,1,NA,NA,FJ460774,FJ460842,NA,NA,NA,NA,NA,NA
Macronous_striaticeps,1,NA,NA,NA,NA,AY319986,NA,NA,NA,NA,NA
Macronyx_croceus,1,NA,NA,AY259461,NA,NA,NA,NA,NA,NA,NA
Macropygia_amboinensis,1,EF373283,EF373381,EF373343,NA,EF373514,NA,EF373486 - FIB intron 7,NA,NA,NA
Macropygia_mackinlayi,1,AF353415,NA,AF353444,NA,NA,NA,AF353466 extraction (reversed),NA,NA,NA
Macropygia_phasianella,1,AF182693,NA,NA,NA,NA,NA,AF182660 (reversed),NA,NA,NA
Macropygia_tenuirostris,1,AF353416,NA,AF353445,NA,NA,NA,AF353467 extraction (reversed),NA,NA,NA
Macrosphenus_flavicans,1,NA,NA,DQ125997,NA,AY319987,EF626751,NA,NA,EF625286,EF625340
Macrosphenus_kretschmeri,1,NA,NA,NA,NA,NA,NA,NA,NA,DQ008574,NA
Malacocincla_abbotti,1,AF484864,NA,DQ861942,NA,FJ358113,NA,NA,FJ357878,FJ357948,FJ358047
Malacocincla_malaccensis,1,NA,NA,HQ011045,NA,NA,NA,NA,NA,NA,NA
Malaconotus_alius,1,NA,NA,AY701507,NA,NA,NA,NA,NA,AY701506,NA
Malaconotus_blanchoti,1,NA,NA,AY529961,NA,NA,AY529994,NA,DQ406651,AY529926,NA
Malacopteron_cinereum,1,AF484865,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malacopteron_magnirostre,1,NA,NA,FJ460778,FJ460846,NA,NA,NA,NA,NA,NA
Malacoptila_semicincta,1,EU166981,NA,EU166966,NA,NA,NA,NA,NA,NA,NA
Malacorhynchus_membranaceus,1,U46483,NA,EU585714,NA,NA,NA,EU739433 extraction,NA,EU739982,NA
Malurus_amabilis,1,AY228088,HQ118134,AY064752,HQ118211,AY037847,HQ118165,NA,EF441219,AY064729,EF441241
Malurus_coronatus,1,NA,GU825802,EU144240,NA,NA,NA,NA,NA,NA,NA
Malurus_cyaneus,1,AF197845,NA,EU534189,NA,GU825803,NA,NA,NA,NA,NA
Malurus_elegans,1,NA,NA,GU825876,NA,GU825806,NA,NA,NA,NA,NA
Malurus_lamberti,1,AY488402,NA,AY488326,AY192142,GU825805,AY488483,NA,FJ419247,NA,NA
Malurus_leucopterus,1,EU341380,NA,EU341424,AY192115,EU341455,NA,EU341398,FJ419263,NA,EU341442
Malurus_melanocephalus,1,NA,GU825758,FJ421901,AY192143,AY057001,EU739272,EU739434 extraction,FJ419241,EU739983,NA
Malurus_splendens,1,AY488403,NA,AY488327,NA,GU825804,AY488484,NA,FJ419239,NA,NA
Manacus_aurantiacus,1,NA,EF111040,NA,NA,FJ501665,NA,EU522571 - intron 7,NA,NA,EU522491
Manacus_candei,1,EU442331,EF111034,NA,NA,NA,NA,EU522576 - intron 7,NA,NA,EU522494
Manacus_manacus,1,AF453818,EF111041,DQ363987,NA,FJ501664,NA,EU522579 - intron 7,AY336571,AY338746,DQ435488
Manacus_vitellinus,1,EF202819,NA,NA,NA,NA,NA,EU522590 - intron 7,NA,NA,EU522509
Mandingoa_nitidula,1,AY495396,NA,GQ369688,NA,NA,NA,AY494574 - fib intron 7,NA,GQ369643,NA
Manorina_flavigula,1,AY488354,NA,AY488281,NA,NA,AY488434,NA,NA,NA,NA
Manorina_melanocephala,1,AF197859,NA,AY064753,NA,GU825836,NA,NA,NA,AY064734,NA
Manorina_melanophrys,1,AY488355,NA,AY488282,NA,GU825835,AY488435,NA,NA,NA,NA
Manucodia_ater,1,AY443250,NA,NA,NA,AY443295,NA,NA,EU726210,EU726218,EU726228
Manucodia_chalybatus,1,AY443251,NA,NA,NA,AY443296,NA,NA,GQ334296,NA,GQ334261
Manucodia_comrii,1,U15207,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manucodia_jobiensis,1,GQ334223,NA,NA,NA,NA,NA,NA,GQ334295,NA,GQ334260
Manucodia_keraudrenii,1,X74252,NA,NA,NA,NA,NA,NA,GQ334297,NA,GQ334262
Margaroperdix_madagascariensis,1,U90640,NA,NA,NA,NA,NA,NA,NA,NA,NA
Margarops_fuscatus,1,HM222453,EF484218,AF140891,NA,AY307197,EF468325,EF471846,NA,AF140879,NA
Margarops_fuscus,1,HM222451,EF484219,AF140892,NA,NA,EF468326,EF471847,NA,AF140880,NA
Margarornis_bellulus,1,NA,NA,HM125596,NA,NA,NA,NA,NA,NA,NA
Margarornis_rubiginosus,1,HM125625,NA,HM125592,AY489544,FJ461137,NA,AY489446,NA,NA,NA
Margarornis_squamiger,1,AY065703,NA,HM125594,HM125671,AY065732,EF212060,HM125656,NA,AY065759,EF212107
Marmaronetta_angustirostris,1,AF059104,NA,AF059164,NA,NA,NA,NA,NA,NA,NA
Masius_chrysopterus,1,NA,EF111035,GU985505,NA,FJ501666,NA,NA,NA,NA,NA
Mayrornis_lessoni,1,NA,NA,DQ084098,NA,NA,NA,NA,NA,NA,NA
Mecocerculus_calopterus,1,NA,NA,NA,NA,NA,NA,NA,EU231687,EU231785,EU231888
Mecocerculus_leucophrys,1,NA,FJ027775,NA,NA,FJ501667,EF501839,NA,EU231676,EU231774,EU231877
Mecocerculus_minor,1,NA,NA,EF501939,NA,NA,EF501882,NA,NA,NA,NA
Mecocerculus_poecilocercus,1,NA,NA,NA,NA,NA,NA,NA,EU231688,EU231786,EU231889
Megabyas_flammulatus,1,NA,NA,AY529962,NA,NA,AY529995,NA,DQ406652,AY529927,NA
Megaceryle_alcyon,1,EU166985,DQ433478,DQ111842,AY998959,DQ111803,NA,AY695158,NA,DQ640794,NA
Megaceryle_maxima,1,NA,NA,EF585390,EF585337,DQ111804,NA,NA,NA,EF585372,NA
Megaceryle_torquata,1,AF441633,DQ433481,DQ111841,NA,DQ111802,NA,NA,NA,AY165804,NA
Megacrex_inepta,1,U77173,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megadyptes_antipodes,1,DQ137224,AY369062,NA,NA,DQ137245,NA,NA,NA,NA,NA
Megalaima_asiatica,1,DQ182308,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megalaima_chrysopogon,1,DQ182304,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megalaima_faber,1,DQ182314,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megalaima_franklinii,1,AY279269,NA,DQ479147,NA,NA,NA,AY279225 - beta fibrinogen intron 7,NA,NA,NA
Megalaima_haemacephala,1,AY279274,AY940785,NA,NA,NA,NA,AY279230 - beta fibrinogen intron 7,NA,NA,NA
Megalaima_lineata,1,AY279272,NA,NA,NA,NA,NA,AY279228 - beta fibrinogen intron 7,NA,NA,NA
Megalaima_monticola,1,AY279275,NA,NA,NA,NA,NA,AY279231 - beta fibrinogen intron 7,NA,NA,NA
Megalaima_mystacophanos,1,AY279273,NA,NA,NA,NA,NA,AY279229 - beta fibrinogen intron 7,NA,NA,NA
Megalaima_nuchalis,1,DQ182316,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megalaima_oorti,1,AY279270,NA,NA,NA,NA,NA,AY279226 - beta fibrinogen intron 7,NA,NA,NA
Megalaima_virens,1,AY279271,NA,NA,NA,AY165793,EU739273,AY279227 - beta fibrinogen intron 7,NA,EU739984,NA
Megalurus_gramineus,1,NA,NA,AY382397,NA,NA,NA,NA,NA,NA,NA
Megalurus_palustris,1,DQ008477,NA,FJ178358,NA,AY319988,EU680661,NA,FJ357917,DQ008529,EU680741
Megapodius_affinis,1,NA,NA,AF394625,NA,NA,NA,NA,NA,NA,NA
Megapodius_cumingii,1,NA,NA,AF394624,NA,NA,NA,NA,NA,NA,NA
Megapodius_eremita,1,AF082065,NA,AF394627,NA,NA,EU739274,EU739436 extraction,NA,EU739985,NA
Megapodius_freycinet,1,AM236880,NA,AF394628,NA,AF143731,NA,NA,NA,NA,NA
Megapodius_layardi,1,AY952696,NA,AF394634,NA,NA,NA,AY952649,AY952716,NA,NA
Megapodius_pritchardii,1,NA,NA,AF394636,NA,NA,NA,NA,NA,NA,NA
Megapodius_reinwardt,1,AF165465,AF165489,AF394630,NA,AY140767,NA,AY140703,NA,NA,NA
Megapodius_tenimberensis,1,NA,NA,AF394637,NA,NA,NA,NA,NA,NA,NA
Megarynchus_pitangua,1,EU442334,EU232917,FJ175974,NA,FJ501668,NA,NA,EU231709,EU231807,EU231910
Megascops_albogularis,1,AJ004012,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megascops_asio,1,FJ588457,DQ433780,EU601054,EU601017,EU348906,NA,NA,NA,EU601096,NA
Megascops_atricapilla,1,AJ004013,NA,NA,NA,EU348907,NA,NA,NA,NA,NA
Megascops_choliba,1,AJ004021,FJ027785,NA,NA,EU348908,NA,NA,NA,NA,NA
Megascops_guatemalae,1,NA,NA,NA,NA,EU348910,NA,NA,NA,NA,NA
Megascops_hoyi,1,AJ004025,FJ027786,EU601024,EU600985,EU348911,NA,NA,NA,EU601061,NA
Megascops_kennicottii,1,DQ190850,DQ433783,EU601053,EU601016,EU348912,NA,NA,NA,EU601095,NA
Megascops_koepckeae,1,EU601104,NA,EU601025,EU600986,NA,NA,NA,NA,EU601062,NA
Megascops_petersoni,1,AJ004034,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megascops_roboratus,1,AJ004035,NA,EU601028,NA,NA,NA,NA,NA,EU601065,NA
Megascops_sanctaecatarinae,1,AJ004036,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megascops_trichopsis,1,DQ190856,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megascops_watsonii,1,AJ004040,NA,NA,NA,NA,NA,NA,NA,NA,NA
Megastictus_margaritatus,1,AY676944,NA,EF640026,EF640093,FJ461179,EF639894,NA,AY677038,AY676991,NA
Megaxenops_parnaguae,1,AY998204,NA,NA,NA,FJ461155,EF212061,NA,AY998223,AY998241,EF212108
Meiglyptes_tristis,1,DQ479274,NA,DQ479194,NA,NA,NA,DQ352386,EU556919,DQ352425,NA
Meiglyptes_tukki,1,AY940807,AY940786,NA,NA,NA,NA,NA,NA,NA,NA
Melaenornis_edolioides,1,GU237078,NA,GU237104,NA,NA,NA,NA,GU359005,GU358740,HM633742
Melampitta_gigantea,1,AY443252,NA,EF592281,NA,AY443297,NA,NA,NA,NA,NA
Melampitta_lugubris,1,AY443253,NA,NA,NA,AY443298,NA,NA,EU726203,EU726213,EU726221
Melanerpes_aurifrons,1,DQ479255,EU442305,DQ479164,NA,NA,NA,DQ479214,NA,NA,NA
Melanerpes_cactorum,1,NA,FJ027790,NA,NA,NA,NA,NA,NA,NA,NA
Melanerpes_candidus,1,NA,FJ027795,NA,NA,NA,NA,NA,NA,NA,NA
Melanerpes_carolinus,1,U89192,DQ434640,DQ361284,NA,NA,NA,AF240019,NA,DQ352424,NA
Melanerpes_erythrocephalus,1,AY940804,AY666578,NA,NA,NA,NA,NA,NA,NA,NA
Melanerpes_flavifrons,1,NA,NA,DQ361286,NA,NA,NA,DQ352393,NA,DQ352437,NA
Melanerpes_formicivorus,1,FJ160960,DQ433793,FJ161013,NA,NA,NA,NA,NA,NA,NA
Melanerpes_herminieri,1,NA,NA,DQ361304,NA,NA,NA,DQ352385,NA,DQ352445,NA
Melanerpes_lewis,1,FJ161004,DQ433798,FJ161057,NA,NA,NA,NA,NA,NA,NA
Melanerpes_pucherani,1,FJ161005,NA,FJ161058,NA,NA,NA,NA,NA,NA,NA
Melanerpes_pygmaeus,1,FJ161010,NA,FJ161064,NA,NA,NA,NA,NA,NA,NA
Melanerpes_striatus,1,AF441652,NA,DQ479165,NA,NA,NA,DQ479216,NA,NA,NA
Melanerpes_uropygialis,1,AF441655,DQ433014,FJ161059,NA,NA,NA,NA,NA,NA,NA
Melanitta_fusca,1,NA,EF515742,NA,NA,NA,NA,NA,NA,NA,NA
Melanitta_nigra,1,AF515263,AY666338,AF515267,NA,NA,NA,NA,NA,NA,NA
Melanitta_perspicillata,1,EU585652,DQ434654,EU585715,NA,NA,NA,NA,NA,NA,NA
Melanocharis_nigra,1,NA,NA,NA,NA,AY057002,NA,NA,NA,NA,NA
Melanocharis_versteri,1,NA,NA,NA,NA,AY443299,NA,NA,EU272092,EU272103,EU272121
Melanochlora_sultanea,1,AY308721,NA,NA,NA,AY319989,NA,NA,NA,NA,NA
Melanocorypha_bimaculata,1,NA,FJ465342,NA,NA,NA,NA,NA,NA,NA,NA
Melanocorypha_calandra,1,NA,FJ465343,NA,NA,NA,NA,NA,NA,NA,NA
Melanocorypha_mongolica,1,NA,GQ482153,NA,NA,NA,NA,NA,NA,NA,NA
Melanodera_melanodera,1,NA,FJ027797,NA,NA,NA,NA,NA,NA,NA,NA
Melanodera_xanthogramma,1,EU647918,NA,EU647952,NA,NA,NA,NA,NA,NA,NA
Melanodryas_cucullata,1,EF592228,NA,FJ976492,NA,AY443300,NA,NA,NA,NA,NA
Melanodryas_vittata,1,NA,NA,FJ976507,NA,NA,NA,NA,NA,NA,NA
Melanopareia_elegans,1,NA,NA,NA,GU371847,FJ461227,NA,GU371840,NA,NA,NA
Melanopareia_maximiliani,1,AY065725,NA,NA,NA,AY065754,NA,NA,GQ925892,AY065785,GQ925875
Melanopareia_torquata,1,NA,NA,NA,AY489553,FJ461228,NA,GU371839,NA,NA,NA
Melanoptila_glabrirostris,1,NA,EF484221,EF468197,NA,NA,EF468328,EF471849,NA,AF140881,NA
